State,District,Mandal,OfficeType,Pincode,Latitude,Longitude
AndhraPradesh,Prakasam,Ramagopalapuram,Bo,523224.0,15.296314,79.307075
AndhraPradesh,Prakasam,Ramalingapuram,Bo,523224.0,11.6635,78.2611
Telangana,Warangal,Kantatmakur,Bo,506391.0,18.1585856,79.6170984
AndhraPradesh,Bapatla,Vemparala,Bo,523201.0,15.89094,79.93536
AndhraPradesh,Prakasam,Khambampadu,Bo,523201.0,15.854373,79.934571
AndhraPradesh,Prakasam,Gonugunta,Bo,523226.0,15.537952,79.860477
AndhraPradesh,Bapatla,Janakavaram,Bo,523214.0,15.819584,80.086317
AndhraPradesh,Prakasam,Ulichi,Bo,523182.0,15.544283,80.156507
AndhraPradesh,Bapatla,Elchuru,Bo,523303.0,16.076733,79.925022
AndhraPradesh,Prakasam,Padarthi,Bo,523286.0,15.468654,80.184746
AndhraPradesh,Bapatla,Anamanamuru,Bo,523212.0,15.743358,79.95844
AndhraPradesh,Bapatla,Thammavaram,Bo,523212.0,15.725995,79.990602
AndhraPradesh,Bapatla,ThimmanaPalem,Bo,523212.0,15.757232,79.938809
AndhraPradesh,Prakasam,Basavannapalem,Bo,523211.0,15.614394,80.046816
AndhraPradesh,Prakasam,Guravareddipalem,Bo,523211.0,15.602313,79.992274
AndhraPradesh,Bapatla,Ballikurva,Bo,523301.0,15.994724,80.024886
AndhraPradesh,Bapatla,Bobbepalli,Bo,523301.0,15.951663,80.142002
AndhraPradesh,Bapatla,Pedaambadipudi,Bo,523301.0,15.973519,80.010896
AndhraPradesh,Bapatla,Uppumagulur,Bo,523301.0,16.075123,80.067587
AndhraPradesh,Bapatla,Rajugaripalem,Bo,523301.0,15.949505,80.121102
AndhraPradesh,Bapatla,Vemavaramagraharam,Bo,523301.0,15.956329,80.088878
,,Bollapalli,Bo,523261.0,15.878024,80.086427
,,Baitamanjuluru,Bo,523261.0,15.863166,80.055159
AndhraPradesh,Prakasam,Hanumapuram,Bo,523183.0,15.673572,80.056257
AndhraPradesh,Prakasam,Chadalavada,Bo,523183.0,16.235032,80.729064
AndhraPradesh,Bapatla,Prasangulapadu,Bo,523183.0,15.687742,80.105168
AndhraPradesh,Bapatla,Kopperapadu,Bo,523213.0,15.936211,79.957041
Telangana,JayashankarBhupalapally,Hussainpalli,Bo,506319.0,18.1372,79.7458
AndhraPradesh,Bapatla,Kopperapalem,Bo,523302.0,16.065769,80.010871
AndhraPradesh,Bapatla,Minnekallu,Bo,523302.0,16.120471,79.993773
AndhraPradesh,Bapatla,Pathamagulur,Bo,523302.0,16.138114,79.95844
AndhraPradesh,Bapatla,Tangedumalli,Bo,523302.0,16.105314,80.027246
AndhraPradesh,Prakasam,Y.Laxmipuram,Bo,523225.0,15.605654,79.939227
AndhraPradesh,Bapatla,Modepalli,Bo,523264.0,15.75145,79.932884
Telangana,Jangoan,Govardanagiri,Bo,506301.0,17.8133662,79.3340276
AndhraPradesh,Prakasam,Korrapativaripalem,Bo,523264.0,15.720902,79.89618
AndhraPradesh,Bapatla,Kunkupadu,Bo,523264.0,15.772744,79.91997
AndhraPradesh,Prakasam,Nagambotlavaripalem,Bo,523264.0,15.680023,79.814678
AndhraPradesh,Prakasam,Sivarampuram,Bo,523264.0,15.663189,79.948649
AndhraPradesh,Prakasam,Doddavaram,Bo,523263.0,15.668226,79.939416
AndhraPradesh,Prakasam,Manduvavaripalem,Bo,523262.0,15.547118,80.047116
AndhraPradesh,Prakasam,Edumudi,Bo,523186.0,15.728602,80.172129
AndhraPradesh,Bapatla,Konanki,Bo,523260.0,15.921173,80.080633
AndhraPradesh,Bapatla,Chinakothapalli,Bo,523260.0,15.911273,79.952694
AndhraPradesh,WestGodavari,Pasivedala,Bo,534342.0,16.9955569,81.694417
Telangana,Mulugu,Ramachandrunipet,Bo,506172.0,18.2669167,80.4828333
AndhraPradesh,WestGodavari,Gowripatnam,Bo,534313.0,17.0337866,81.6107905
AndhraPradesh,WestGodavari,Dhumantunigudem,Bo,534313.0,17.0216,81.5357
Telangana,Mulugu,Narsimhasagar,Bo,506172.0,18.2669167,80.4828333
AndhraPradesh,WestGodavari,Chityala,Bo,534316.0,17.2326278,79.1195654
AndhraPradesh,WestGodavari,Teeparru,Bo,534331.0,16.7937967,81.7290238
AndhraPradesh,WestGodavari,Singavaram,Bo,534301.0,16.8847072,81.6559697
AndhraPradesh,WestGodavari,Tallapalem,Bo,534301.0,17.6508945,82.893633
AndhraPradesh,WestGodavari,Bodigudem,Bo,534315.0,17.2460036,81.5890724
Telangana,Jangoan,Thammadapalli,Bo,506143.0,17.8250797,79.45352
AndhraPradesh,WestGodavari,Itikalakota,Bo,534315.0,17.275118,81.5623888
AndhraPradesh,WestGodavari,Vk.Reddigudem,Bo,534315.0,17.2369343,81.5779817
AndhraPradesh,WestGodavari,Pandalaparru,Bo,534302.0,16.8949425,81.711035
AndhraPradesh,WestGodavari,Jeedigunta,Bo,534302.0,16.8803645,81.7199296
AndhraPradesh,WestGodavari,Thogummi,Bo,534302.0,,
AndhraPradesh,WestGodavari,Vadapalli,Bo,534302.0,,
AndhraPradesh,WestGodavari,Vemuluru,Bo,534302.0,,
AndhraPradesh,WestGodavari,MaddurulankaB.O,Bo,534302.0,16.9282,81.7247
AndhraPradesh,WestGodavari,Chikkala,Bo,534305.0,16.9700216,81.5907114
AndhraPradesh,WestGodavari,Dharmavaram,Bo,534340.0,17.0508432,81.6579693
AndhraPradesh,WestGodavari,Peddavam,Bo,534340.0,17.0798816,81.66319
AndhraPradesh,WestGodavari,Atchannapalem,Bo,534111.0,16.8894092,81.4889431
AndhraPradesh,WestGodavari,Telikecharla,Bo,534111.0,16.9329528,81.4669759
AndhraPradesh,WestGodavari,ChintapalliAgraharam,Bo,534196.0,16.9145389,82.086955
AndhraPradesh,WestGodavari,Kasipadu,Bo,534196.0,16.7404998,81.5433488
AndhraPradesh,WestGodavari,Vakapalli,Bo,534196.0,16.7270433,81.5186084
AndhraPradesh,WestGodavari,B.Kondepadu,Bo,534156.0,16.7496448,81.5881789
AndhraPradesh,WestGodavari,Ravipadu,Bo,534156.0,16.7674447,81.5846056
AndhraPradesh,WestGodavari,Aredu,Bo,534198.0,16.6568348,81.4497588
AndhraPradesh,WestGodavari,Kaligotla,Bo,534198.0,16.6665866,81.4493161
AndhraPradesh,WestGodavari,Apparaopeta,Bo,534145.0,16.8996338,81.5648926
AndhraPradesh,WestGodavari,Dubacharla,Bo,534112.0,16.9137582,81.3477086
AndhraPradesh,WestGodavari,Prakasaraopalem,Bo,534112.0,16.9164712,81.430629
AndhraPradesh,WestGodavari,Singarajupalem,Bo,534112.0,16.8808984,81.4087075
